"","Age","Sex","contrast","estimate","SE","df","t.ratio","p.value"
"1","13 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",-105.4041201462,19.4565351720876,79.1125091721444,-5.41741472538303,1.8996690691556e-06
"2","15-16 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",-136.053821537617,23.8612149551322,128.078707468054,-5.70188155940288,4.66336486856243e-07
"3","8 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",-50.2725237284656,17.8802583613901,64.627037824433,-2.81162177371117,0.00977845402854211
"4","13 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-47.0620756349373,19.8630490947292,66.7424477084561,-2.36932786152281,0.0207207341027732
"5","15-16 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-83.4751548964422,20.6125099953108,74.3107263171916,-4.04973265824648,0.000249217876122284
"6","8 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-45.7713734432126,18.8676562619332,58.6762096925979,-2.42591728446736,0.0207207341027732
