"","Age","contrast","estimate","SE","df","t.ratio","p.value"
"1","12 months","Female - Male",1.93971567634556,0.391702036642905,17.9814384274298,4.95201835806103,0.000103312943335593
"2","3 months","Female - Male",2.37972320692477,0.390212599364268,17.9381380983287,6.09852990600971,1.40328567892617e-05
"3","7 months","Female - Male",2.70176736366408,0.393898373518415,18.3468754356124,6.85904676257257,5.5131129425972e-06
