"","Age","contrast","estimate","SE","df","t.ratio","p.value"
"1","12 months","Female - Male",1.10074139356701,0.300770839702333,16.1083804437557,3.65973441659569,0.0020943825760504
"2","3 months","Female - Male",1.60101886643134,0.299743324586568,16.0265175710309,5.34129948895309,9.8746032598288e-05
"3","7 months","Female - Male",1.66493224392631,0.302088697765511,16.3753101601446,5.51140196982368,9.8746032598288e-05
