,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4283183, 'Female', '13 weeks', 'distance (mm)')",Distance,13302.16569,Rbmb6 HD:Het,13 weeks,4283183,Female,day_one
"(4283183, 'Female', '15-16 weeks', 'Climbing')",Climbing,196.776,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_one
"(4283183, 'Female', '15-16 weeks', 'distance (mm)')",Distance,15451.6902,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_one
"(4283183, 'Female', '8 weeks', 'Climbing')",Climbing,106.032,Rbmb6 HD:Het,8 weeks,4283183,Female,day_one
"(4283183, 'Female', '8 weeks', 'distance (mm)')",Distance,13799.04644,Rbmb6 HD:Het,8 weeks,4283183,Female,day_one
"(4284198, 'Female', '15-16 weeks', 'Climbing')",Climbing,103.816,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_one
"(4284198, 'Female', '15-16 weeks', 'distance (mm)')",Distance,12090.04975,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_one
"(4284198, 'Female', '8 weeks', 'Climbing')",Climbing,154.704,Rbmb6 HD:WT,8 weeks,4284198,Female,day_one
"(4284198, 'Female', '8 weeks', 'distance (mm)')",Distance,3984.061969,Rbmb6 HD:WT,8 weeks,4284198,Female,day_one
"(4284608, 'Female', '8 weeks', 'Climbing')",Climbing,158.208,Rbmb6 HD:Het,8 weeks,4284608,Female,day_one
"(4284608, 'Female', '8 weeks', 'distance (mm)')",Distance,14017.37266,Rbmb6 HD:Het,8 weeks,4284608,Female,day_one
"(4284627, 'Female', '8 weeks', 'Climbing')",Climbing,197.976,Rbmb6 HD:Het,8 weeks,4284627,Female,day_one
"(4284627, 'Female', '8 weeks', 'distance (mm)')",Distance,15443.42242,Rbmb6 HD:Het,8 weeks,4284627,Female,day_one
"(4300729, 'Male', '13 weeks', 'Climbing')",Climbing,47.04,Rbmb6 HD:WT,13 weeks,4300729,Male,day_one
"(4300729, 'Male', '13 weeks', 'distance (mm)')",Distance,4528.415796,Rbmb6 HD:WT,13 weeks,4300729,Male,day_one
"(4300729, 'Male', '15-16 weeks', 'Climbing')",Climbing,31.44,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_one
"(4300729, 'Male', '15-16 weeks', 'distance (mm)')",Distance,8273.701441,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_one
"(4300729, 'Male', '8 weeks', 'Climbing')",Climbing,57.312,Rbmb6 HD:WT,8 weeks,4300729,Male,day_one
"(4300729, 'Male', '8 weeks', 'distance (mm)')",Distance,8554.4422,Rbmb6 HD:WT,8 weeks,4300729,Male,day_one
"(4300730, 'Male', '13 weeks', 'Climbing')",Climbing,66.528,Rbmb6 HD:Het,13 weeks,4300730,Male,day_one
"(4300730, 'Male', '13 weeks', 'distance (mm)')",Distance,4623.321252,Rbmb6 HD:Het,13 weeks,4300730,Male,day_one
"(4300730, 'Male', '15-16 weeks', 'Climbing')",Climbing,8.968,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_one
"(4300730, 'Male', '15-16 weeks', 'distance (mm)')",Distance,4608.716391,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_one
"(4300730, 'Male', '8 weeks', 'Climbing')",Climbing,5.84,Rbmb6 HD:Het,8 weeks,4300730,Male,day_one
"(4300730, 'Male', '8 weeks', 'distance (mm)')",Distance,7130.059665,Rbmb6 HD:Het,8 weeks,4300730,Male,day_one
"(4303286, 'Female', '13 weeks', 'Climbing')",Climbing,122.736,Rbmb6 HD:Het,13 weeks,4303286,Female,day_one
"(4303286, 'Female', '13 weeks', 'distance (mm)')",Distance,11791.86523,Rbmb6 HD:Het,13 weeks,4303286,Female,day_one
"(4303286, 'Female', '8 weeks', 'Climbing')",Climbing,148.608,Rbmb6 HD:Het,8 weeks,4303286,Female,day_one
"(4303286, 'Female', '8 weeks', 'distance (mm)')",Distance,4525.873236,Rbmb6 HD:Het,8 weeks,4303286,Female,day_one
"(4303287, 'Male', '13 weeks', 'Climbing')",Climbing,31.536,Rbmb6 HD:Het,13 weeks,4303287,Male,day_one
"(4303287, 'Male', '13 weeks', 'distance (mm)')",Distance,8940.82373,Rbmb6 HD:Het,13 weeks,4303287,Male,day_one
"(4303287, 'Male', '8 weeks', 'Climbing')",Climbing,35.376,Rbmb6 HD:Het,8 weeks,4303287,Male,day_one
"(4303287, 'Male', '8 weeks', 'distance (mm)')",Distance,7820.099561,Rbmb6 HD:Het,8 weeks,4303287,Male,day_one
"(4303288, 'Male', '13 weeks', 'Climbing')",Climbing,29.424,Rbmb6 HD:WT,13 weeks,4303288,Male,day_one
