,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4283163, 'Male', '15-16 weeks', 'distance (mm)')",Distance,7242.610962,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_two
"(4283163, 'Male', '8 weeks', 'Climbing')",Climbing,161.184,Rbmb6 HD:WT,8 weeks,4283163,Male,day_two
"(4283163, 'Male', '8 weeks', 'distance (mm)')",Distance,4273.028687,Rbmb6 HD:WT,8 weeks,4283163,Male,day_two
"(4283183, 'Female', '13 weeks', 'Climbing')",Climbing,44.448,Rbmb6 HD:Het,13 weeks,4283183,Female,day_two
"(4283183, 'Female', '13 weeks', 'distance (mm)')",Distance,9115.398328,Rbmb6 HD:Het,13 weeks,4283183,Female,day_two
"(4283183, 'Female', '15-16 weeks', 'Climbing')",Climbing,81.6,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_two
"(4283183, 'Female', '15-16 weeks', 'distance (mm)')",Distance,6219.687842,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_two
"(4283183, 'Female', '8 weeks', 'Climbing')",Climbing,81.024,Rbmb6 HD:Het,8 weeks,4283183,Female,day_two
"(4283183, 'Female', '8 weeks', 'distance (mm)')",Distance,10960.60371,Rbmb6 HD:Het,8 weeks,4283183,Female,day_two
"(4284198, 'Female', '15-16 weeks', 'Climbing')",Climbing,100.992,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_two
"(4284198, 'Female', '15-16 weeks', 'distance (mm)')",Distance,17617.0126,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_two
"(4284198, 'Female', '8 weeks', 'Climbing')",Climbing,267.312,Rbmb6 HD:WT,8 weeks,4284198,Female,day_two
"(4284198, 'Female', '8 weeks', 'distance (mm)')",Distance,7458.110364,Rbmb6 HD:WT,8 weeks,4284198,Female,day_two
"(4284608, 'Female', '8 weeks', 'Climbing')",Climbing,82.272,Rbmb6 HD:Het,8 weeks,4284608,Female,day_two
"(4284608, 'Female', '8 weeks', 'distance (mm)')",Distance,11103.25796,Rbmb6 HD:Het,8 weeks,4284608,Female,day_two
"(4284627, 'Female', '8 weeks', 'Climbing')",Climbing,231.504,Rbmb6 HD:Het,8 weeks,4284627,Female,day_two
"(4284627, 'Female', '8 weeks', 'distance (mm)')",Distance,12413.71405,Rbmb6 HD:Het,8 weeks,4284627,Female,day_two
"(4300729, 'Male', '13 weeks', 'Climbing')",Climbing,31.824,Rbmb6 HD:WT,13 weeks,4300729,Male,day_two
"(4300729, 'Male', '13 weeks', 'distance (mm)')",Distance,7896.352246,Rbmb6 HD:WT,13 weeks,4300729,Male,day_two
"(4300729, 'Male', '15-16 weeks', 'Climbing')",Climbing,18.768,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_two
"(4300729, 'Male', '15-16 weeks', 'distance (mm)')",Distance,4180.707263,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_two
"(4300729, 'Male', '8 weeks', 'Climbing')",Climbing,47.856,Rbmb6 HD:WT,8 weeks,4300729,Male,day_two
"(4300729, 'Male', '8 weeks', 'distance (mm)')",Distance,8183.599018,Rbmb6 HD:WT,8 weeks,4300729,Male,day_two
"(4300730, 'Male', '13 weeks', 'Climbing')",Climbing,88.992,Rbmb6 HD:Het,13 weeks,4300730,Male,day_two
"(4300730, 'Male', '13 weeks', 'distance (mm)')",Distance,6951.613745,Rbmb6 HD:Het,13 weeks,4300730,Male,day_two
"(4300730, 'Male', '15-16 weeks', 'Climbing')",Climbing,12.096,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_two
"(4300730, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5824.921724,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_two
"(4300730, 'Male', '8 weeks', 'Climbing')",Climbing,5.384,Rbmb6 HD:Het,8 weeks,4300730,Male,day_two
"(4300730, 'Male', '8 weeks', 'distance (mm)')",Distance,6458.957624,Rbmb6 HD:Het,8 weeks,4300730,Male,day_two
"(4303286, 'Female', '13 weeks', 'Climbing')",Climbing,97.296,Rbmb6 HD:Het,13 weeks,4303286,Female,day_two
"(4303286, 'Female', '13 weeks', 'distance (mm)')",Distance,9083.459839,Rbmb6 HD:Het,13 weeks,4303286,Female,day_two
"(4303286, 'Female', '8 weeks', 'Climbing')",Climbing,89.504,Rbmb6 HD:Het,8 weeks,4303286,Female,day_two
"(4303286, 'Female', '8 weeks', 'distance (mm)')",Distance,4466.744754,Rbmb6 HD:Het,8 weeks,4303286,Female,day_two
"(4303287, 'Male', '13 weeks', 'Climbing')",Climbing,37.296,Rbmb6 HD:Het,13 weeks,4303287,Male,day_two
"(4303287, 'Male', '13 weeks', 'distance (mm)')",Distance,9822.298633,Rbmb6 HD:Het,13 weeks,4303287,Male,day_two
"(4303287, 'Male', '8 weeks', 'Climbing')",Climbing,16.176,Rbmb6 HD:Het,8 weeks,4303287,Male,day_two
"(4303287, 'Male', '8 weeks', 'distance (mm)')",Distance,4860.023529,Rbmb6 HD:Het,8 weeks,4303287,Male,day_two
"(4303288, 'Male', '13 weeks', 'Climbing')",Climbing,26.96,Rbmb6 HD:WT,13 weeks,4303288,Male,day_two
"(4303288, 'Male', '13 weeks', 'distance (mm)')",Distance,5495.730518,Rbmb6 HD:WT,13 weeks,4303288,Male,day_two
"(4303288, 'Male', '15-16 weeks', 'Climbing')",Climbing,4.16928,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_two
"(4303288, 'Male', '15-16 weeks', 'distance (mm)')",Distance,3471.753833,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_two
"(4303291, 'Female', '13 weeks', 'Climbing')",Climbing,63.68,Rbmb6 HD:WT,13 weeks,4303291,Female,day_two
"(4303291, 'Female', '13 weeks', 'distance (mm)')",Distance,4047.216324,Rbmb6 HD:WT,13 weeks,4303291,Female,day_two
"(4303291, 'Female', '15-16 weeks', 'Climbing')",Climbing,80.64,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_two
"(4303291, 'Female', '15-16 weeks', 'distance (mm)')",Distance,7021.299939,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_two
"(4309500, 'Male', '8 weeks', 'Climbing')",Climbing,43.824,Rbmb6 HD:Het,8 weeks,4309500,Male,day_two
"(4309500, 'Male', '8 weeks', 'distance (mm)')",Distance,8766.261121,Rbmb6 HD:Het,8 weeks,4309500,Male,day_two
"(4309505, 'Male', '13 weeks', 'Climbing')",Climbing,0.144,Rbmb6 HD:Het,13 weeks,4309505,Male,day_two
"(4309505, 'Male', '13 weeks', 'distance (mm)')",Distance,1358.975739,Rbmb6 HD:Het,13 weeks,4309505,Male,day_two
"(4309505, 'Male', '15-16 weeks', 'Climbing')",Climbing,4.704,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_two
"(4309505, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2908.897681,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_two
"(4309505, 'Male', '8 weeks', 'Climbing')",Climbing,16.032,Rbmb6 HD:Het,8 weeks,4309505,Male,day_two
"(4309505, 'Male', '8 weeks', 'distance (mm)')",Distance,7337.765631,Rbmb6 HD:Het,8 weeks,4309505,Male,day_two
"(4309509, 'Female', '13 weeks', 'Climbing')",Climbing,33.68,Rbmb6 HD:WT,13 weeks,4309509,Female,day_two
"(4309509, 'Female', '13 weeks', 'distance (mm)')",Distance,3092.169702,Rbmb6 HD:WT,13 weeks,4309509,Female,day_two
"(4309509, 'Female', '15-16 weeks', 'Climbing')",Climbing,95.52,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_two
"(4309509, 'Female', '15-16 weeks', 'distance (mm)')",Distance,5083.042663,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_two
"(4309509, 'Female', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:WT,8 weeks,4309509,Female,day_two
"(4309509, 'Female', '8 weeks', 'distance (mm)')",Distance,1775.912719,Rbmb6 HD:WT,8 weeks,4309509,Female,day_two
"(4310394, 'Female', '13 weeks', 'Climbing')",Climbing,30.192,Rbmb6 HD:Het,13 weeks,4310394,Female,day_two
"(4310394, 'Female', '13 weeks', 'distance (mm)')",Distance,2991.899243,Rbmb6 HD:Het,13 weeks,4310394,Female,day_two
"(4310394, 'Female', '15-16 weeks', 'Climbing')",Climbing,2.544,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_two
"(4310394, 'Female', '15-16 weeks', 'distance (mm)')",Distance,2073.323315,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_two
"(4310394, 'Female', '8 weeks', 'Climbing')",Climbing,38.832,Rbmb6 HD:Het,8 weeks,4310394,Female,day_two
"(4310394, 'Female', '8 weeks', 'distance (mm)')",Distance,4342.023371,Rbmb6 HD:Het,8 weeks,4310394,Female,day_two
"(4310395, 'Female', '8 weeks', 'Climbing')",Climbing,97.816,Rbmb6 HD:Het,8 weeks,4310395,Female,day_two
"(4310395, 'Female', '8 weeks', 'distance (mm)')",Distance,8755.23927,Rbmb6 HD:Het,8 weeks,4310395,Female,day_two
"(4310396, 'Female', '13 weeks', 'Climbing')",Climbing,114.288,Rbmb6 HD:WT,13 weeks,4310396,Female,day_two
"(4310396, 'Female', '13 weeks', 'distance (mm)')",Distance,6213.821411,Rbmb6 HD:WT,13 weeks,4310396,Female,day_two
"(4310396, 'Female', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_two
"(4310396, 'Female', '15-16 weeks', 'distance (mm)')",Distance,506.5696098,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_two
"(4310396, 'Female', '8 weeks', 'Climbing')",Climbing,52.896,Rbmb6 HD:WT,8 weeks,4310396,Female,day_two
"(4310396, 'Female', '8 weeks', 'distance (mm)')",Distance,3240.87431,Rbmb6 HD:WT,8 weeks,4310396,Female,day_two
"(4310397, 'Male', '13 weeks', 'Climbing')",Climbing,17.712,Rbmb6 HD:WT,13 weeks,4310397,Male,day_two
"(4310397, 'Male', '13 weeks', 'distance (mm)')",Distance,8700.517779,Rbmb6 HD:WT,13 weeks,4310397,Male,day_two
"(4310397, 'Male', '15-16 weeks', 'Climbing')",Climbing,9.792,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_two
"(4310397, 'Male', '15-16 weeks', 'distance (mm)')",Distance,4654.767139,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_two
"(4310397, 'Male', '8 weeks', 'Climbing')",Climbing,17.616,Rbmb6 HD:WT,8 weeks,4310397,Male,day_two
"(4310397, 'Male', '8 weeks', 'distance (mm)')",Distance,6633.504242,Rbmb6 HD:WT,8 weeks,4310397,Male,day_two
"(4310398, 'Male', '13 weeks', 'Climbing')",Climbing,9.648,Rbmb6 HD:Het,13 weeks,4310398,Male,day_two
"(4310398, 'Male', '13 weeks', 'distance (mm)')",Distance,4649.076321,Rbmb6 HD:Het,13 weeks,4310398,Male,day_two
"(4310398, 'Male', '15-16 weeks', 'Climbing')",Climbing,8.112,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_two
"(4310398, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2633.033233,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_two
"(4310398, 'Male', '8 weeks', 'Climbing')",Climbing,62.496,Rbmb6 HD:Het,8 weeks,4310398,Male,day_two
"(4310398, 'Male', '8 weeks', 'distance (mm)')",Distance,6050.173425,Rbmb6 HD:Het,8 weeks,4310398,Male,day_two
"(4310410, 'Female', '13 weeks', 'Climbing')",Climbing,72.096,Rbmb6 HD:WT,13 weeks,4310410,Female,day_two
"(4310410, 'Female', '13 weeks', 'distance (mm)')",Distance,4164.923552,Rbmb6 HD:WT,13 weeks,4310410,Female,day_two
"(4310410, 'Female', '15-16 weeks', 'Climbing')",Climbing,15.88,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_two
"(4310410, 'Female', '15-16 weeks', 'distance (mm)')",Distance,3628.044542,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_two
"(4310410, 'Female', '8 weeks', 'Climbing')",Climbing,134.688,Rbmb6 HD:WT,8 weeks,4310410,Female,day_two
"(4310410, 'Female', '8 weeks', 'distance (mm)')",Distance,6961.836075,Rbmb6 HD:WT,8 weeks,4310410,Female,day_two
"(4311405, 'Female', '13 weeks', 'Climbing')",Climbing,9.36,Rbmb6 HD:Het,13 weeks,4311405,Female,day_two
"(4311405, 'Female', '13 weeks', 'distance (mm)')",Distance,3323.480658,Rbmb6 HD:Het,13 weeks,4311405,Female,day_two
"(4311405, 'Female', '15-16 weeks', 'Climbing')",Climbing,21.696,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_two
"(4311405, 'Female', '15-16 weeks', 'distance (mm)')",Distance,5677.593751,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_two
"(4311405, 'Female', '8 weeks', 'Climbing')",Climbing,145.904,Rbmb6 HD:Het,8 weeks,4311405,Female,day_two
"(4311405, 'Female', '8 weeks', 'distance (mm)')",Distance,8907.357718,Rbmb6 HD:Het,8 weeks,4311405,Female,day_two
"(4311406, 'Male', '15-16 weeks', 'Climbing')",Climbing,15.168,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_two
"(4311406, 'Male', '15-16 weeks', 'distance (mm)')",Distance,4739.833984,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_two
"(4311406, 'Male', '8 weeks', 'Climbing')",Climbing,25.728,Rbmb6 HD:Het,8 weeks,4311406,Male,day_two
"(4311406, 'Male', '8 weeks', 'distance (mm)')",Distance,5377.253551,Rbmb6 HD:Het,8 weeks,4311406,Male,day_two
"(4311407, 'Male', '13 weeks', 'Climbing')",Climbing,37.104,Rbmb6 HD:WT,13 weeks,4311407,Male,day_two
"(4311407, 'Male', '13 weeks', 'distance (mm)')",Distance,7309.775983,Rbmb6 HD:WT,13 weeks,4311407,Male,day_two
"(4311407, 'Male', '15-16 weeks', 'Climbing')",Climbing,14.784,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_two
"(4311407, 'Male', '15-16 weeks', 'distance (mm)')",Distance,6564.839431,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_two
"(4311407, 'Male', '8 weeks', 'Climbing')",Climbing,21.792,Rbmb6 HD:WT,8 weeks,4311407,Male,day_two
"(4311407, 'Male', '8 weeks', 'distance (mm)')",Distance,6153.011649,Rbmb6 HD:WT,8 weeks,4311407,Male,day_two
"(4311417, 'Female', '13 weeks', 'Climbing')",Climbing,67.056,Rbmb6 HD:WT,13 weeks,4311417,Female,day_two
"(4311417, 'Female', '13 weeks', 'distance (mm)')",Distance,1567.311084,Rbmb6 HD:WT,13 weeks,4311417,Female,day_two
"(4311417, 'Female', '15-16 weeks', 'Climbing')",Climbing,10.992,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_two
"(4311417, 'Female', '15-16 weeks', 'distance (mm)')",Distance,2268.112283,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_two
"(4311417, 'Female', '8 weeks', 'Climbing')",Climbing,51.304,Rbmb6 HD:WT,8 weeks,4311417,Female,day_two
"(4311417, 'Female', '8 weeks', 'distance (mm)')",Distance,5678.104153,Rbmb6 HD:WT,8 weeks,4311417,Female,day_two
"(4314309, 'Male', '8 weeks', 'Climbing')",Climbing,1.68,Rbmb6 HD:Het,8 weeks,4314309,Male,day_two
"(4314309, 'Male', '8 weeks', 'distance (mm)')",Distance,2787.170589,Rbmb6 HD:Het,8 weeks,4314309,Male,day_two
"(4314315, 'Female', '8 weeks', 'Climbing')",Climbing,155.304,Rbmb6 HD:WT,8 weeks,4314315,Female,day_two
"(4314315, 'Female', '8 weeks', 'distance (mm)')",Distance,5220.775086,Rbmb6 HD:WT,8 weeks,4314315,Female,day_two
"(4314316, 'Female', '8 weeks', 'Climbing')",Climbing,52.608,Rbmb6 HD:Het,8 weeks,4314316,Female,day_two
"(4314316, 'Female', '8 weeks', 'distance (mm)')",Distance,4993.028967,Rbmb6 HD:Het,8 weeks,4314316,Female,day_two
"(4366282, 'Male', '13 weeks', 'Climbing')",Climbing,2.112,Rbmb6 HD:WT,13 weeks,4366282,Male,day_two
"(4366282, 'Male', '13 weeks', 'distance (mm)')",Distance,2435.289755,Rbmb6 HD:WT,13 weeks,4366282,Male,day_two
"(4366282, 'Male', '15-16 weeks', 'Climbing')",Climbing,17.76,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_two
"(4366282, 'Male', '15-16 weeks', 'distance (mm)')",Distance,8990.044769,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_two
"(4366282, 'Male', '8 weeks', 'Climbing')",Climbing,12.528,Rbmb6 HD:WT,8 weeks,4366282,Male,day_two
"(4366282, 'Male', '8 weeks', 'distance (mm)')",Distance,6341.519574,Rbmb6 HD:WT,8 weeks,4366282,Male,day_two
"(4366286, 'Male', '13 weeks', 'Climbing')",Climbing,15.344,Rbmb6 HD:Het,13 weeks,4366286,Male,day_two
"(4366286, 'Male', '13 weeks', 'distance (mm)')",Distance,2372.520463,Rbmb6 HD:Het,13 weeks,4366286,Male,day_two
"(4366286, 'Male', '15-16 weeks', 'Climbing')",Climbing,1.344,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_two
"(4366286, 'Male', '15-16 weeks', 'distance (mm)')",Distance,7818.407002,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_two
"(4366286, 'Male', '8 weeks', 'Climbing')",Climbing,42.576,Rbmb6 HD:Het,8 weeks,4366286,Male,day_two
"(4366286, 'Male', '8 weeks', 'distance (mm)')",Distance,3165.519608,Rbmb6 HD:Het,8 weeks,4366286,Male,day_two
"(4192216, 'Male', '13 weeks', 'Climbing')",Climbing,143.056,Rbmb6 HD:WT,13 weeks,4192216,Male,day_three
"(4192216, 'Male', '13 weeks', 'distance (mm)')",Distance,8222.832641,Rbmb6 HD:WT,13 weeks,4192216,Male,day_three
"(4192216, 'Male', '15-16 weeks', 'Climbing')",Climbing,88.992,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_three
"(4192216, 'Male', '15-16 weeks', 'distance (mm)')",Distance,11869.39434,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_three
"(4192216, 'Male', '8 weeks', 'Climbing')",Climbing,79.824,Rbmb6 HD:WT,8 weeks,4192216,Male,day_three
"(4192216, 'Male', '8 weeks', 'distance (mm)')",Distance,8735.1308,Rbmb6 HD:WT,8 weeks,4192216,Male,day_three
"(4200742, 'Male', '13 weeks', 'Climbing')",Climbing,33.32,Rbmb6 HD:Het,13 weeks,4200742,Male,day_three
"(4200742, 'Male', '13 weeks', 'distance (mm)')",Distance,11921.01994,Rbmb6 HD:Het,13 weeks,4200742,Male,day_three
"(4200742, 'Male', '8 weeks', 'Climbing')",Climbing,151.392,Rbmb6 HD:Het,8 weeks,4200742,Male,day_three
"(4200742, 'Male', '8 weeks', 'distance (mm)')",Distance,13864.51758,Rbmb6 HD:Het,8 weeks,4200742,Male,day_three
"(4247842, 'Female', '13 weeks', 'Climbing')",Climbing,159.312,Rbmb6 HD:Het,13 weeks,4247842,Female,day_three
"(4247842, 'Female', '13 weeks', 'distance (mm)')",Distance,7426.077698,Rbmb6 HD:Het,13 weeks,4247842,Female,day_three
"(4249098, 'Female', '13 weeks', 'Climbing')",Climbing,36.384,Rbmb6 HD:Het,13 weeks,4249098,Female,day_three
"(4249098, 'Female', '13 weeks', 'distance (mm)')",Distance,12785.53909,Rbmb6 HD:Het,13 weeks,4249098,Female,day_three
"(4249098, 'Female', '8 weeks', 'Climbing')",Climbing,71.952,Rbmb6 HD:Het,8 weeks,4249098,Female,day_three
"(4249098, 'Female', '8 weeks', 'distance (mm)')",Distance,12789.07852,Rbmb6 HD:Het,8 weeks,4249098,Female,day_three
"(4259251, 'Female', '13 weeks', 'Climbing')",Climbing,161.088,Rbmb6 HD:WT,13 weeks,4259251,Female,day_three
"(4259251, 'Female', '13 weeks', 'distance (mm)')",Distance,7237.692017,Rbmb6 HD:WT,13 weeks,4259251,Female,day_three
"(4259251, 'Female', '8 weeks', 'Climbing')",Climbing,95.336,Rbmb6 HD:WT,8 weeks,4259251,Female,day_three
"(4259251, 'Female', '8 weeks', 'distance (mm)')",Distance,10383.75278,Rbmb6 HD:WT,8 weeks,4259251,Female,day_three
"(4260354, 'Female', '13 weeks', 'Climbing')",Climbing,118.984,Rbmb6 HD:Het,13 weeks,4260354,Female,day_three
"(4260354, 'Female', '13 weeks', 'distance (mm)')",Distance,12544.07969,Rbmb6 HD:Het,13 weeks,4260354,Female,day_three
"(4260354, 'Female', '8 weeks', 'Climbing')",Climbing,80.832,Rbmb6 HD:Het,8 weeks,4260354,Female,day_three
"(4260354, 'Female', '8 weeks', 'distance (mm)')",Distance,11330.54634,Rbmb6 HD:Het,8 weeks,4260354,Female,day_three
"(4277842, 'Female', '8 weeks', 'Climbing')",Climbing,199.776,Rbmb6 HD:Het,8 weeks,4277842,Female,day_three
"(4277842, 'Female', '8 weeks', 'distance (mm)')",Distance,10266.92244,Rbmb6 HD:Het,8 weeks,4277842,Female,day_three
"(4281948, 'Female', '13 weeks', 'Climbing')",Climbing,92.284,Rbmb6 HD:WT,13 weeks,4281948,Female,day_three
"(4281948, 'Female', '13 weeks', 'distance (mm)')",Distance,6995.266812,Rbmb6 HD:WT,13 weeks,4281948,Female,day_three
"(4283161, 'Male', '13 weeks', 'Climbing')",Climbing,41.568,Rbmb6 HD:WT,13 weeks,4283161,Male,day_three
"(4283161, 'Male', '13 weeks', 'distance (mm)')",Distance,9892.233814,Rbmb6 HD:WT,13 weeks,4283161,Male,day_three
"(4283161, 'Male', '15-16 weeks', 'Climbing')",Climbing,23.376,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_three
"(4283161, 'Male', '15-16 weeks', 'distance (mm)')",Distance,10257.24641,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_three
"(4283161, 'Male', '8 weeks', 'Climbing')",Climbing,89.368,Rbmb6 HD:WT,8 weeks,4283161,Male,day_three
"(4283161, 'Male', '8 weeks', 'distance (mm)')",Distance,9347.573645,Rbmb6 HD:WT,8 weeks,4283161,Male,day_three
"(4283163, 'Male', '13 weeks', 'Climbing')",Climbing,0.59136,Rbmb6 HD:WT,13 weeks,4283163,Male,day_three
"(4283163, 'Male', '13 weeks', 'distance (mm)')",Distance,5690.815967,Rbmb6 HD:WT,13 weeks,4283163,Male,day_three
"(4283163, 'Male', '15-16 weeks', 'Climbing')",Climbing,23.04,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_three
"(4283163, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2941.905566,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_three
"(4283163, 'Male', '8 weeks', 'Climbing')",Climbing,218.784,Rbmb6 HD:WT,8 weeks,4283163,Male,day_three
"(4283163, 'Male', '8 weeks', 'distance (mm)')",Distance,4064.286731,Rbmb6 HD:WT,8 weeks,4283163,Male,day_three
"(4283183, 'Female', '13 weeks', 'Climbing')",Climbing,74.112,Rbmb6 HD:Het,13 weeks,4283183,Female,day_three
"(4283183, 'Female', '13 weeks', 'distance (mm)')",Distance,14332.73603,Rbmb6 HD:Het,13 weeks,4283183,Female,day_three
"(4283183, 'Female', '15-16 weeks', 'Climbing')",Climbing,15,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_three
"(4283183, 'Female', '15-16 weeks', 'distance (mm)')",Distance,1199.61701,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_three
"(4283183, 'Female', '8 weeks', 'Climbing')",Climbing,124.96,Rbmb6 HD:Het,8 weeks,4283183,Female,day_three
"(4283183, 'Female', '8 weeks', 'distance (mm)')",Distance,13024.26484,Rbmb6 HD:Het,8 weeks,4283183,Female,day_three
"(4284198, 'Female', '15-16 weeks', 'Climbing')",Climbing,130.36,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_three
"(4284198, 'Female', '15-16 weeks', 'distance (mm)')",Distance,16650.83933,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_three
"(4284198, 'Female', '8 weeks', 'Climbing')",Climbing,199.824,Rbmb6 HD:WT,8 weeks,4284198,Female,day_three
"(4284198, 'Female', '8 weeks', 'distance (mm)')",Distance,6491.774426,Rbmb6 HD:WT,8 weeks,4284198,Female,day_three
"(4284608, 'Female', '8 weeks', 'Climbing')",Climbing,113.664,Rbmb6 HD:Het,8 weeks,4284608,Female,day_three
"(4284608, 'Female', '8 weeks', 'distance (mm)')",Distance,9389.525342,Rbmb6 HD:Het,8 weeks,4284608,Female,day_three
"(4284627, 'Female', '8 weeks', 'Climbing')",Climbing,236.04,Rbmb6 HD:Het,8 weeks,4284627,Female,day_three
"(4284627, 'Female', '8 weeks', 'distance (mm)')",Distance,14717.46167,Rbmb6 HD:Het,8 weeks,4284627,Female,day_three
"(4300729, 'Male', '13 weeks', 'Climbing')",Climbing,42.96,Rbmb6 HD:WT,13 weeks,4300729,Male,day_three
"(4300729, 'Male', '13 weeks', 'distance (mm)')",Distance,4413.018695,Rbmb6 HD:WT,13 weeks,4300729,Male,day_three
"(4300729, 'Male', '15-16 weeks', 'Climbing')",Climbing,15.024,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_three
"(4300729, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5316.282436,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_three
"(4300729, 'Male', '8 weeks', 'Climbing')",Climbing,62.4,Rbmb6 HD:WT,8 weeks,4300729,Male,day_three
"(4300729, 'Male', '8 weeks', 'distance (mm)')",Distance,6618.906518,Rbmb6 HD:WT,8 weeks,4300729,Male,day_three
"(4300730, 'Male', '13 weeks', 'Climbing')",Climbing,51.856,Rbmb6 HD:Het,13 weeks,4300730,Male,day_three
"(4300730, 'Male', '13 weeks', 'distance (mm)')",Distance,5196.397186,Rbmb6 HD:Het,13 weeks,4300730,Male,day_three
"(4300730, 'Male', '15-16 weeks', 'Climbing')",Climbing,24.336,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_three
"(4300730, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5444.273999,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_three
"(4300730, 'Male', '8 weeks', 'Climbing')",Climbing,5.56,Rbmb6 HD:Het,8 weeks,4300730,Male,day_three
"(4300730, 'Male', '8 weeks', 'distance (mm)')",Distance,6761.665482,Rbmb6 HD:Het,8 weeks,4300730,Male,day_three
"(4303286, 'Female', '13 weeks', 'Climbing')",Climbing,81.648,Rbmb6 HD:Het,13 weeks,4303286,Female,day_three
"(4303286, 'Female', '13 weeks', 'distance (mm)')",Distance,10069.50974,Rbmb6 HD:Het,13 weeks,4303286,Female,day_three
"(4303286, 'Female', '8 weeks', 'Climbing')",Climbing,68.736,Rbmb6 HD:Het,8 weeks,4303286,Female,day_three
"(4303286, 'Female', '8 weeks', 'distance (mm)')",Distance,4011.789673,Rbmb6 HD:Het,8 weeks,4303286,Female,day_three
"(4303287, 'Male', '13 weeks', 'Climbing')",Climbing,36.144,Rbmb6 HD:Het,13 weeks,4303287,Male,day_three
"(4303287, 'Male', '13 weeks', 'distance (mm)')",Distance,9676.292456,Rbmb6 HD:Het,13 weeks,4303287,Male,day_three
"(4303287, 'Male', '8 weeks', 'Climbing')",Climbing,41.376,Rbmb6 HD:Het,8 weeks,4303287,Male,day_three
"(4303287, 'Male', '8 weeks', 'distance (mm)')",Distance,12367.53955,Rbmb6 HD:Het,8 weeks,4303287,Male,day_three
"(4303288, 'Male', '13 weeks', 'Climbing')",Climbing,35.616,Rbmb6 HD:WT,13 weeks,4303288,Male,day_three
