,Action,value,Genotype,Age,Cage,Period,Sex,timepoint
"(4187463, 'distance (mm)', 'Dark', '7 months')",Distance,3303.12225,C57BL6/J,7 months,4187463,Dark,Male,day_one
"(4187463, 'distance (mm)', 'Light', '12 months')",Distance,1132.856437,C57BL6/J,12 months,4187463,Light,Male,day_one
"(4187463, 'distance (mm)', 'Light', '3 months')",Distance,2107.725164,C57BL6/J,3 months,4187463,Light,Male,day_one
"(4187463, 'distance (mm)', 'Light', '7 months')",Distance,1389.701154,C57BL6/J,7 months,4187463,Light,Male,day_one
"(4188123, 'Climbing', 'Dark', '12 months')",Climbing,16.804,C57BL6/J,12 months,4188123,Dark,Male,day_one
"(4188123, 'Climbing', 'Dark', '3 months')",Climbing,7.258,C57BL6/J,3 months,4188123,Dark,Male,day_one
"(4188123, 'Climbing', 'Dark', '7 months')",Climbing,10.458,C57BL6/J,7 months,4188123,Dark,Male,day_one
"(4188123, 'Climbing', 'Light', '12 months')",Climbing,1.693090909,C57BL6/J,12 months,4188123,Light,Male,day_one
"(4188123, 'Climbing', 'Light', '3 months')",Climbing,0.881454545,C57BL6/J,3 months,4188123,Light,Male,day_one
"(4188123, 'Climbing', 'Light', '7 months')",Climbing,5.208,C57BL6/J,7 months,4188123,Light,Male,day_one
"(4188123, 'distance (mm)', 'Dark', '12 months')",Distance,1620.291978,C57BL6/J,12 months,4188123,Dark,Male,day_one
"(4188123, 'distance (mm)', 'Dark', '3 months')",Distance,2973.40902,C57BL6/J,3 months,4188123,Dark,Male,day_one
"(4188123, 'distance (mm)', 'Dark', '7 months')",Distance,2631.238256,C57BL6/J,7 months,4188123,Dark,Male,day_one
"(4188123, 'distance (mm)', 'Light', '12 months')",Distance,839.0080395,C57BL6/J,12 months,4188123,Light,Male,day_one
"(4188123, 'distance (mm)', 'Light', '3 months')",Distance,1171.573668,C57BL6/J,3 months,4188123,Light,Male,day_one
"(4188123, 'distance (mm)', 'Light', '7 months')",Distance,928.7553881,C57BL6/J,7 months,4188123,Light,Male,day_one
"(4193912, 'Climbing', 'Dark', '12 months')",Climbing,6.512,C57BL6/J,12 months,4193912,Dark,Male,day_one
"(4193912, 'Climbing', 'Dark', '3 months')",Climbing,58.16033333,C57BL6/J,3 months,4193912,Dark,Male,day_one
"(4193912, 'Climbing', 'Light', '12 months')",Climbing,4.267636364,C57BL6/J,12 months,4193912,Light,Male,day_one
"(4193912, 'Climbing', 'Light', '3 months')",Climbing,26.70509091,C57BL6/J,3 months,4193912,Light,Male,day_one
"(4193912, 'distance (mm)', 'Dark', '12 months')",Distance,1515.491676,C57BL6/J,12 months,4193912,Dark,Male,day_one
"(4193912, 'distance (mm)', 'Dark', '3 months')",Distance,4079.118594,C57BL6/J,3 months,4193912,Dark,Male,day_one
"(4193912, 'distance (mm)', 'Light', '12 months')",Distance,1122.187741,C57BL6/J,12 months,4193912,Light,Male,day_one
"(4193912, 'distance (mm)', 'Light', '3 months')",Distance,966.9580642,C57BL6/J,3 months,4193912,Light,Male,day_one
"(4240953, 'Climbing', 'Dark', '12 months')",Climbing,10.8,C57BL6/J,12 months,4240953,Dark,Female,day_one
"(4240953, 'Climbing', 'Dark', '3 months')",Climbing,35.464,C57BL6/J,3 months,4240953,Dark,Female,day_one
"(4240953, 'Climbing', 'Dark', '7 months')",Climbing,105.322,C57BL6/J,7 months,4240953,Dark,Female,day_one
"(4240953, 'Climbing', 'Light', '12 months')",Climbing,2.16,C57BL6/J,12 months,4240953,Light,Female,day_one
"(4240953, 'Climbing', 'Light', '3 months')",Climbing,6.316363636,C57BL6/J,3 months,4240953,Light,Female,day_one
"(4240953, 'Climbing', 'Light', '7 months')",Climbing,8.395636364,C57BL6/J,7 months,4240953,Light,Female,day_one
"(4240953, 'distance (mm)', 'Dark', '12 months')",Distance,3066.39135,C57BL6/J,12 months,4240953,Dark,Female,day_one
"(4240953, 'distance (mm)', 'Dark', '3 months')",Distance,4978.680575,C57BL6/J,3 months,4240953,Dark,Female,day_one
"(4240953, 'distance (mm)', 'Dark', '7 months')",Distance,4304.42321,C57BL6/J,7 months,4240953,Dark,Female,day_one
"(4240953, 'distance (mm)', 'Light', '12 months')",Distance,1254.806129,C57BL6/J,12 months,4240953,Light,Female,day_one
"(4240953, 'distance (mm)', 'Light', '3 months')",Distance,1310.162766,C57BL6/J,3 months,4240953,Light,Female,day_one
"(4240953, 'distance (mm)', 'Light', '7 months')",Distance,1027.30432,C57BL6/J,7 months,4240953,Light,Female,day_one
"(4240962, 'Climbing', 'Dark', '12 months')",Climbing,63.045,C57BL6/J,12 months,4240962,Dark,Female,day_one
"(4240962, 'Climbing', 'Dark', '3 months')",Climbing,103.256,C57BL6/J,3 months,4240962,Dark,Female,day_one
"(4240962, 'Climbing', 'Dark', '7 months')",Climbing,75.17533333,C57BL6/J,7 months,4240962,Dark,Female,day_one
"(4240962, 'Climbing', 'Light', '12 months')",Climbing,0.379636364,C57BL6/J,12 months,4240962,Light,Female,day_one
"(4240962, 'Climbing', 'Light', '3 months')",Climbing,2.912727273,C57BL6/J,3 months,4240962,Light,Female,day_one
"(4240962, 'Climbing', 'Light', '7 months')",Climbing,2.986909091,C57BL6/J,7 months,4240962,Light,Female,day_one
"(4240962, 'distance (mm)', 'Dark', '12 months')",Distance,4497.523575,C57BL6/J,12 months,4240962,Dark,Female,day_one
"(4240962, 'distance (mm)', 'Dark', '3 months')",Distance,5912.008073,C57BL6/J,3 months,4240962,Dark,Female,day_one
"(4240962, 'distance (mm)', 'Dark', '7 months')",Distance,6545.458662,C57BL6/J,7 months,4240962,Dark,Female,day_one
"(4240962, 'distance (mm)', 'Light', '12 months')",Distance,970.5037361,C57BL6/J,12 months,4240962,Light,Female,day_one
"(4240962, 'distance (mm)', 'Light', '3 months')",Distance,1155.85868,C57BL6/J,3 months,4240962,Light,Female,day_one
"(4240962, 'distance (mm)', 'Light', '7 months')",Distance,1226.841573,C57BL6/J,7 months,4240962,Light,Female,day_one
"(4242121, 'Climbing', 'Dark', '12 months')",Climbing,36.392,C57BL6/J,12 months,4242121,Dark,Female,day_one
"(4242121, 'Climbing', 'Dark', '3 months')",Climbing,76.51233333,C57BL6/J,3 months,4242121,Dark,Female,day_one
"(4242121, 'Climbing', 'Dark', '7 months')",Climbing,53.23466667,C57BL6/J,7 months,4242121,Dark,Female,day_one
"(4242121, 'Climbing', 'Light', '12 months')",Climbing,3.615272727,C57BL6/J,12 months,4242121,Light,Female,day_one
"(4242121, 'Climbing', 'Light', '3 months')",Climbing,3.920727273,C57BL6/J,3 months,4242121,Light,Female,day_one
"(4242121, 'Climbing', 'Light', '7 months')",Climbing,3.045818182,C57BL6/J,7 months,4242121,Light,Female,day_one
"(4242121, 'distance (mm)', 'Dark', '12 months')",Distance,4397.862434,C57BL6/J,12 months,4242121,Dark,Female,day_one
"(4242121, 'distance (mm)', 'Dark', '3 months')",Distance,6660.177768,C57BL6/J,3 months,4242121,Dark,Female,day_one
"(4242121, 'distance (mm)', 'Dark', '7 months')",Distance,4644.304658,C57BL6/J,7 months,4242121,Dark,Female,day_one
