,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4283163, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2058.16934,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_two
"(4283163, 'Male', '8 weeks', 'Climbing')",Climbing,0.288,Rbmb6 HD:WT,8 weeks,4283163,Male,day_two
"(4283163, 'Male', '8 weeks', 'distance (mm)')",Distance,779.7590302,Rbmb6 HD:WT,8 weeks,4283163,Male,day_two
"(4283183, 'Female', '13 weeks', 'Climbing')",Climbing,0.576,Rbmb6 HD:Het,13 weeks,4283183,Female,day_two
"(4283183, 'Female', '13 weeks', 'distance (mm)')",Distance,373.8268913,Rbmb6 HD:Het,13 weeks,4283183,Female,day_two
"(4283183, 'Female', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_two
"(4283183, 'Female', '15-16 weeks', 'distance (mm)')",Distance,460.4162615,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_two
"(4283183, 'Female', '8 weeks', 'Climbing')",Climbing,40.736,Rbmb6 HD:Het,8 weeks,4283183,Female,day_two
"(4283183, 'Female', '8 weeks', 'distance (mm)')",Distance,13024.75657,Rbmb6 HD:Het,8 weeks,4283183,Female,day_two
"(4284198, 'Female', '15-16 weeks', 'Climbing')",Climbing,75.744,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_two
"(4284198, 'Female', '15-16 weeks', 'distance (mm)')",Distance,11280.01033,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_two
"(4284198, 'Female', '8 weeks', 'Climbing')",Climbing,168.096,Rbmb6 HD:WT,8 weeks,4284198,Female,day_two
"(4284198, 'Female', '8 weeks', 'distance (mm)')",Distance,8149.474976,Rbmb6 HD:WT,8 weeks,4284198,Female,day_two
"(4284608, 'Female', '8 weeks', 'Climbing')",Climbing,1.824,Rbmb6 HD:Het,8 weeks,4284608,Female,day_two
"(4284608, 'Female', '8 weeks', 'distance (mm)')",Distance,2356.963686,Rbmb6 HD:Het,8 weeks,4284608,Female,day_two
"(4284627, 'Female', '8 weeks', 'Climbing')",Climbing,0.144,Rbmb6 HD:Het,8 weeks,4284627,Female,day_two
"(4284627, 'Female', '8 weeks', 'distance (mm)')",Distance,484.4270408,Rbmb6 HD:Het,8 weeks,4284627,Female,day_two
"(4300729, 'Male', '13 weeks', 'Climbing')",Climbing,48,Rbmb6 HD:WT,13 weeks,4300729,Male,day_two
"(4300729, 'Male', '13 weeks', 'distance (mm)')",Distance,6569.399072,Rbmb6 HD:WT,13 weeks,4300729,Male,day_two
"(4300729, 'Male', '15-16 weeks', 'Climbing')",Climbing,10.896,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_two
"(4300729, 'Male', '15-16 weeks', 'distance (mm)')",Distance,8442.459448,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_two
"(4300729, 'Male', '8 weeks', 'Climbing')",Climbing,37.344,Rbmb6 HD:WT,8 weeks,4300729,Male,day_two
"(4300729, 'Male', '8 weeks', 'distance (mm)')",Distance,8175.666748,Rbmb6 HD:WT,8 weeks,4300729,Male,day_two
"(4300730, 'Male', '13 weeks', 'Climbing')",Climbing,20.496,Rbmb6 HD:Het,13 weeks,4300730,Male,day_two
"(4300730, 'Male', '13 weeks', 'distance (mm)')",Distance,2090.665122,Rbmb6 HD:Het,13 weeks,4300730,Male,day_two
"(4300730, 'Male', '15-16 weeks', 'Climbing')",Climbing,0.144,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_two
"(4300730, 'Male', '15-16 weeks', 'distance (mm)')",Distance,122.7263282,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_two
"(4300730, 'Male', '8 weeks', 'Climbing')",Climbing,2.488,Rbmb6 HD:Het,8 weeks,4300730,Male,day_two
"(4300730, 'Male', '8 weeks', 'distance (mm)')",Distance,3071.34412,Rbmb6 HD:Het,8 weeks,4300730,Male,day_two
"(4303286, 'Female', '13 weeks', 'Climbing')",Climbing,57.84,Rbmb6 HD:Het,13 weeks,4303286,Female,day_two
"(4303286, 'Female', '13 weeks', 'distance (mm)')",Distance,11082.20023,Rbmb6 HD:Het,13 weeks,4303286,Female,day_two
"(4303286, 'Female', '8 weeks', 'Climbing')",Climbing,20.56,Rbmb6 HD:Het,8 weeks,4303286,Female,day_two
"(4303286, 'Female', '8 weeks', 'distance (mm)')",Distance,2087.187204,Rbmb6 HD:Het,8 weeks,4303286,Female,day_two
"(4303287, 'Male', '13 weeks', 'Climbing')",Climbing,3.216,Rbmb6 HD:Het,13 weeks,4303287,Male,day_two
"(4303287, 'Male', '13 weeks', 'distance (mm)')",Distance,2931.067355,Rbmb6 HD:Het,13 weeks,4303287,Male,day_two
"(4303287, 'Male', '8 weeks', 'Climbing')",Climbing,18.624,Rbmb6 HD:Het,8 weeks,4303287,Male,day_two
"(4303287, 'Male', '8 weeks', 'distance (mm)')",Distance,9841.444293,Rbmb6 HD:Het,8 weeks,4303287,Male,day_two
"(4303288, 'Male', '13 weeks', 'Climbing')",Climbing,47.808,Rbmb6 HD:WT,13 weeks,4303288,Male,day_two
"(4303288, 'Male', '13 weeks', 'distance (mm)')",Distance,6549.89895,Rbmb6 HD:WT,13 weeks,4303288,Male,day_two
"(4303288, 'Male', '15-16 weeks', 'Climbing')",Climbing,10.6224,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_two
"(4303288, 'Male', '15-16 weeks', 'distance (mm)')",Distance,5264.750915,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_two
"(4303291, 'Female', '13 weeks', 'Climbing')",Climbing,142.416,Rbmb6 HD:WT,13 weeks,4303291,Female,day_two
"(4303291, 'Female', '13 weeks', 'distance (mm)')",Distance,11621.02273,Rbmb6 HD:WT,13 weeks,4303291,Female,day_two
"(4303291, 'Female', '15-16 weeks', 'Climbing')",Climbing,30.432,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_two
"(4303291, 'Female', '15-16 weeks', 'distance (mm)')",Distance,4006.569486,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_two
"(4309500, 'Male', '8 weeks', 'Climbing')",Climbing,5.04,Rbmb6 HD:Het,8 weeks,4309500,Male,day_two
"(4309500, 'Male', '8 weeks', 'distance (mm)')",Distance,4349.572763,Rbmb6 HD:Het,8 weeks,4309500,Male,day_two
"(4309505, 'Male', '13 weeks', 'Climbing')",Climbing,26.688,Rbmb6 HD:Het,13 weeks,4309505,Male,day_two
"(4309505, 'Male', '13 weeks', 'distance (mm)')",Distance,8109.541581,Rbmb6 HD:Het,13 weeks,4309505,Male,day_two
"(4309505, 'Male', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_two
"(4309505, 'Male', '15-16 weeks', 'distance (mm)')",Distance,1009.320892,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_two
"(4309505, 'Male', '8 weeks', 'Climbing')",Climbing,20.4,Rbmb6 HD:Het,8 weeks,4309505,Male,day_two
"(4309505, 'Male', '8 weeks', 'distance (mm)')",Distance,8731.339609,Rbmb6 HD:Het,8 weeks,4309505,Male,day_two
"(4309509, 'Female', '13 weeks', 'Climbing')",Climbing,241.632,Rbmb6 HD:WT,13 weeks,4309509,Female,day_two
"(4309509, 'Female', '13 weeks', 'distance (mm)')",Distance,10724.81528,Rbmb6 HD:WT,13 weeks,4309509,Female,day_two
"(4309509, 'Female', '15-16 weeks', 'Climbing')",Climbing,96.096,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_two
"(4309509, 'Female', '15-16 weeks', 'distance (mm)')",Distance,6179.306503,Rbmb6 HD:WT,15-16 weeks,4309509,Female,day_two
"(4309509, 'Female', '8 weeks', 'Climbing')",Climbing,207.6,Rbmb6 HD:WT,8 weeks,4309509,Female,day_two
"(4309509, 'Female', '8 weeks', 'distance (mm)')",Distance,10114.93547,Rbmb6 HD:WT,8 weeks,4309509,Female,day_two
"(4310394, 'Female', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4310394,Female,day_two
"(4310394, 'Female', '13 weeks', 'distance (mm)')",Distance,1134.910629,Rbmb6 HD:Het,13 weeks,4310394,Female,day_two
"(4310394, 'Female', '15-16 weeks', 'Climbing')",Climbing,0.72,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_two
"(4310394, 'Female', '15-16 weeks', 'distance (mm)')",Distance,328.0759248,Rbmb6 HD:Het,15-16 weeks,4310394,Female,day_two
"(4310394, 'Female', '8 weeks', 'Climbing')",Climbing,12.528,Rbmb6 HD:Het,8 weeks,4310394,Female,day_two
"(4310394, 'Female', '8 weeks', 'distance (mm)')",Distance,7958.943421,Rbmb6 HD:Het,8 weeks,4310394,Female,day_two
"(4310395, 'Female', '8 weeks', 'Climbing')",Climbing,9.504,Rbmb6 HD:Het,8 weeks,4310395,Female,day_two
"(4310395, 'Female', '8 weeks', 'distance (mm)')",Distance,11703.74019,Rbmb6 HD:Het,8 weeks,4310395,Female,day_two
"(4310396, 'Female', '13 weeks', 'Climbing')",Climbing,134.632,Rbmb6 HD:WT,13 weeks,4310396,Female,day_two
"(4310396, 'Female', '13 weeks', 'distance (mm)')",Distance,10188.47388,Rbmb6 HD:WT,13 weeks,4310396,Female,day_two
"(4310396, 'Female', '15-16 weeks', 'Climbing')",Climbing,30.816,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_two
"(4310396, 'Female', '15-16 weeks', 'distance (mm)')",Distance,2716.976066,Rbmb6 HD:WT,15-16 weeks,4310396,Female,day_two
"(4310396, 'Female', '8 weeks', 'Climbing')",Climbing,37.92,Rbmb6 HD:WT,8 weeks,4310396,Female,day_two
"(4310396, 'Female', '8 weeks', 'distance (mm)')",Distance,5085.227344,Rbmb6 HD:WT,8 weeks,4310396,Female,day_two
"(4310397, 'Male', '13 weeks', 'Climbing')",Climbing,27.888,Rbmb6 HD:WT,13 weeks,4310397,Male,day_two
"(4310397, 'Male', '13 weeks', 'distance (mm)')",Distance,11331.17031,Rbmb6 HD:WT,13 weeks,4310397,Male,day_two
"(4310397, 'Male', '15-16 weeks', 'Climbing')",Climbing,25.728,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_two
"(4310397, 'Male', '15-16 weeks', 'distance (mm)')",Distance,6182.762848,Rbmb6 HD:WT,15-16 weeks,4310397,Male,day_two
"(4310397, 'Male', '8 weeks', 'Climbing')",Climbing,32.592,Rbmb6 HD:WT,8 weeks,4310397,Male,day_two
"(4310397, 'Male', '8 weeks', 'distance (mm)')",Distance,5872.675647,Rbmb6 HD:WT,8 weeks,4310397,Male,day_two
"(4310398, 'Male', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4310398,Male,day_two
"(4310398, 'Male', '13 weeks', 'distance (mm)')",Distance,290.3683258,Rbmb6 HD:Het,13 weeks,4310398,Male,day_two
"(4310398, 'Male', '15-16 weeks', 'Climbing')",Climbing,0.528,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_two
"(4310398, 'Male', '15-16 weeks', 'distance (mm)')",Distance,1281.126617,Rbmb6 HD:Het,15-16 weeks,4310398,Male,day_two
"(4310398, 'Male', '8 weeks', 'Climbing')",Climbing,40.704,Rbmb6 HD:Het,8 weeks,4310398,Male,day_two
"(4310398, 'Male', '8 weeks', 'distance (mm)')",Distance,6240.800433,Rbmb6 HD:Het,8 weeks,4310398,Male,day_two
"(4310410, 'Female', '13 weeks', 'Climbing')",Climbing,223.232,Rbmb6 HD:WT,13 weeks,4310410,Female,day_two
"(4310410, 'Female', '13 weeks', 'distance (mm)')",Distance,14663.09475,Rbmb6 HD:WT,13 weeks,4310410,Female,day_two
"(4310410, 'Female', '15-16 weeks', 'Climbing')",Climbing,60.144,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_two
"(4310410, 'Female', '15-16 weeks', 'distance (mm)')",Distance,12696.53813,Rbmb6 HD:WT,15-16 weeks,4310410,Female,day_two
"(4310410, 'Female', '8 weeks', 'Climbing')",Climbing,59.856,Rbmb6 HD:WT,8 weeks,4310410,Female,day_two
"(4310410, 'Female', '8 weeks', 'distance (mm)')",Distance,8571.416052,Rbmb6 HD:WT,8 weeks,4310410,Female,day_two
"(4311405, 'Female', '13 weeks', 'Climbing')",Climbing,3.312,Rbmb6 HD:Het,13 weeks,4311405,Female,day_two
"(4311405, 'Female', '13 weeks', 'distance (mm)')",Distance,3037.226764,Rbmb6 HD:Het,13 weeks,4311405,Female,day_two
"(4311405, 'Female', '15-16 weeks', 'Climbing')",Climbing,0.384,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_two
"(4311405, 'Female', '15-16 weeks', 'distance (mm)')",Distance,1059.98832,Rbmb6 HD:Het,15-16 weeks,4311405,Female,day_two
"(4311405, 'Female', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,8 weeks,4311405,Female,day_two
"(4311405, 'Female', '8 weeks', 'distance (mm)')",Distance,384.1354889,Rbmb6 HD:Het,8 weeks,4311405,Female,day_two
"(4311406, 'Male', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_two
"(4311406, 'Male', '15-16 weeks', 'distance (mm)')",Distance,187.6757462,Rbmb6 HD:Het,15-16 weeks,4311406,Male,day_two
"(4311406, 'Male', '8 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,8 weeks,4311406,Male,day_two
"(4311406, 'Male', '8 weeks', 'distance (mm)')",Distance,481.3587967,Rbmb6 HD:Het,8 weeks,4311406,Male,day_two
"(4311407, 'Male', '13 weeks', 'Climbing')",Climbing,29.088,Rbmb6 HD:WT,13 weeks,4311407,Male,day_two
"(4311407, 'Male', '13 weeks', 'distance (mm)')",Distance,12676.05286,Rbmb6 HD:WT,13 weeks,4311407,Male,day_two
"(4311407, 'Male', '15-16 weeks', 'Climbing')",Climbing,49.008,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_two
"(4311407, 'Male', '15-16 weeks', 'distance (mm)')",Distance,9363.827881,Rbmb6 HD:WT,15-16 weeks,4311407,Male,day_two
"(4311407, 'Male', '8 weeks', 'Climbing')",Climbing,31.68,Rbmb6 HD:WT,8 weeks,4311407,Male,day_two
"(4311407, 'Male', '8 weeks', 'distance (mm)')",Distance,12786.30666,Rbmb6 HD:WT,8 weeks,4311407,Male,day_two
"(4311417, 'Female', '13 weeks', 'Climbing')",Climbing,136.032,Rbmb6 HD:WT,13 weeks,4311417,Female,day_two
"(4311417, 'Female', '13 weeks', 'distance (mm)')",Distance,7827.555127,Rbmb6 HD:WT,13 weeks,4311417,Female,day_two
"(4311417, 'Female', '15-16 weeks', 'Climbing')",Climbing,32.688,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_two
"(4311417, 'Female', '15-16 weeks', 'distance (mm)')",Distance,14874.2854,Rbmb6 HD:WT,15-16 weeks,4311417,Female,day_two
"(4311417, 'Female', '8 weeks', 'Climbing')",Climbing,66.528,Rbmb6 HD:WT,8 weeks,4311417,Female,day_two
"(4311417, 'Female', '8 weeks', 'distance (mm)')",Distance,9445.127808,Rbmb6 HD:WT,8 weeks,4311417,Female,day_two
"(4314309, 'Male', '8 weeks', 'Climbing')",Climbing,8.544,Rbmb6 HD:Het,8 weeks,4314309,Male,day_two
"(4314309, 'Male', '8 weeks', 'distance (mm)')",Distance,3395.953684,Rbmb6 HD:Het,8 weeks,4314309,Male,day_two
"(4314315, 'Female', '8 weeks', 'Climbing')",Climbing,55.872,Rbmb6 HD:WT,8 weeks,4314315,Female,day_two
"(4314315, 'Female', '8 weeks', 'distance (mm)')",Distance,8038.764942,Rbmb6 HD:WT,8 weeks,4314315,Female,day_two
"(4314316, 'Female', '8 weeks', 'Climbing')",Climbing,64.704,Rbmb6 HD:Het,8 weeks,4314316,Female,day_two
"(4314316, 'Female', '8 weeks', 'distance (mm)')",Distance,9953.691687,Rbmb6 HD:Het,8 weeks,4314316,Female,day_two
"(4366282, 'Male', '13 weeks', 'Climbing')",Climbing,32.976,Rbmb6 HD:WT,13 weeks,4366282,Male,day_two
"(4366282, 'Male', '13 weeks', 'distance (mm)')",Distance,6824.694739,Rbmb6 HD:WT,13 weeks,4366282,Male,day_two
"(4366282, 'Male', '15-16 weeks', 'Climbing')",Climbing,53.232,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_two
"(4366282, 'Male', '15-16 weeks', 'distance (mm)')",Distance,23693.4467,Rbmb6 HD:WT,15-16 weeks,4366282,Male,day_two
"(4366282, 'Male', '8 weeks', 'Climbing')",Climbing,31.232,Rbmb6 HD:WT,8 weeks,4366282,Male,day_two
"(4366282, 'Male', '8 weeks', 'distance (mm)')",Distance,16344.31819,Rbmb6 HD:WT,8 weeks,4366282,Male,day_two
"(4366286, 'Male', '13 weeks', 'Climbing')",Climbing,25.056,Rbmb6 HD:Het,13 weeks,4366286,Male,day_two
"(4366286, 'Male', '13 weeks', 'distance (mm)')",Distance,4877.277695,Rbmb6 HD:Het,13 weeks,4366286,Male,day_two
"(4366286, 'Male', '15-16 weeks', 'Climbing')",Climbing,0.24,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_two
"(4366286, 'Male', '15-16 weeks', 'distance (mm)')",Distance,4244.4464,Rbmb6 HD:Het,15-16 weeks,4366286,Male,day_two
"(4366286, 'Male', '8 weeks', 'Climbing')",Climbing,5.28,Rbmb6 HD:Het,8 weeks,4366286,Male,day_two
"(4366286, 'Male', '8 weeks', 'distance (mm)')",Distance,2863.154745,Rbmb6 HD:Het,8 weeks,4366286,Male,day_two
"(4192216, 'Male', '13 weeks', 'Climbing')",Climbing,112.624,Rbmb6 HD:WT,13 weeks,4192216,Male,day_three
"(4192216, 'Male', '13 weeks', 'distance (mm)')",Distance,9884.210327,Rbmb6 HD:WT,13 weeks,4192216,Male,day_three
"(4192216, 'Male', '15-16 weeks', 'Climbing')",Climbing,48.528,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_three
"(4192216, 'Male', '15-16 weeks', 'distance (mm)')",Distance,11202.63403,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_three
"(4192216, 'Male', '8 weeks', 'Climbing')",Climbing,30,Rbmb6 HD:WT,8 weeks,4192216,Male,day_three
"(4192216, 'Male', '8 weeks', 'distance (mm)')",Distance,5901.34788,Rbmb6 HD:WT,8 weeks,4192216,Male,day_three
"(4200742, 'Male', '13 weeks', 'Climbing')",Climbing,5.232,Rbmb6 HD:Het,13 weeks,4200742,Male,day_three
"(4200742, 'Male', '13 weeks', 'distance (mm)')",Distance,9424.579174,Rbmb6 HD:Het,13 weeks,4200742,Male,day_three
"(4200742, 'Male', '8 weeks', 'Climbing')",Climbing,2.256,Rbmb6 HD:Het,8 weeks,4200742,Male,day_three
"(4200742, 'Male', '8 weeks', 'distance (mm)')",Distance,3610.037345,Rbmb6 HD:Het,8 weeks,4200742,Male,day_three
"(4249098, 'Female', '13 weeks', 'Climbing')",Climbing,2.784,Rbmb6 HD:Het,13 weeks,4249098,Female,day_three
"(4249098, 'Female', '13 weeks', 'distance (mm)')",Distance,3318.762671,Rbmb6 HD:Het,13 weeks,4249098,Female,day_three
"(4249098, 'Female', '8 weeks', 'Climbing')",Climbing,24.872,Rbmb6 HD:Het,8 weeks,4249098,Female,day_three
"(4249098, 'Female', '8 weeks', 'distance (mm)')",Distance,9051.690638,Rbmb6 HD:Het,8 weeks,4249098,Female,day_three
"(4259251, 'Female', '13 weeks', 'Climbing')",Climbing,85.712,Rbmb6 HD:WT,13 weeks,4259251,Female,day_three
"(4259251, 'Female', '13 weeks', 'distance (mm)')",Distance,9066.398731,Rbmb6 HD:WT,13 weeks,4259251,Female,day_three
"(4259251, 'Female', '8 weeks', 'Climbing')",Climbing,55.152,Rbmb6 HD:WT,8 weeks,4259251,Female,day_three
"(4259251, 'Female', '8 weeks', 'distance (mm)')",Distance,7348.42428,Rbmb6 HD:WT,8 weeks,4259251,Female,day_three
"(4260354, 'Female', '13 weeks', 'Climbing')",Climbing,35.048,Rbmb6 HD:Het,13 weeks,4260354,Female,day_three
"(4260354, 'Female', '13 weeks', 'distance (mm)')",Distance,14514.78899,Rbmb6 HD:Het,13 weeks,4260354,Female,day_three
"(4260354, 'Female', '8 weeks', 'Climbing')",Climbing,17.04,Rbmb6 HD:Het,8 weeks,4260354,Female,day_three
"(4260354, 'Female', '8 weeks', 'distance (mm)')",Distance,11165.64141,Rbmb6 HD:Het,8 weeks,4260354,Female,day_three
"(4277842, 'Female', '8 weeks', 'Climbing')",Climbing,2.784,Rbmb6 HD:Het,8 weeks,4277842,Female,day_three
"(4277842, 'Female', '8 weeks', 'distance (mm)')",Distance,2698.345613,Rbmb6 HD:Het,8 weeks,4277842,Female,day_three
"(4281948, 'Female', '13 weeks', 'Climbing')",Climbing,113.016,Rbmb6 HD:WT,13 weeks,4281948,Female,day_three
"(4281948, 'Female', '13 weeks', 'distance (mm)')",Distance,7964.067151,Rbmb6 HD:WT,13 weeks,4281948,Female,day_three
"(4283161, 'Male', '13 weeks', 'Climbing')",Climbing,12.088,Rbmb6 HD:WT,13 weeks,4283161,Male,day_three
"(4283161, 'Male', '13 weeks', 'distance (mm)')",Distance,4577.870929,Rbmb6 HD:WT,13 weeks,4283161,Male,day_three
"(4283161, 'Male', '15-16 weeks', 'Climbing')",Climbing,1.584,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_three
"(4283161, 'Male', '15-16 weeks', 'distance (mm)')",Distance,3061.621919,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_three
"(4283161, 'Male', '8 weeks', 'Climbing')",Climbing,6.192,Rbmb6 HD:WT,8 weeks,4283161,Male,day_three
"(4283161, 'Male', '8 weeks', 'distance (mm)')",Distance,5988.472913,Rbmb6 HD:WT,8 weeks,4283161,Male,day_three
"(4283163, 'Male', '13 weeks', 'Climbing')",Climbing,1.68096,Rbmb6 HD:WT,13 weeks,4283163,Male,day_three
"(4283163, 'Male', '13 weeks', 'distance (mm)')",Distance,211.8678184,Rbmb6 HD:WT,13 weeks,4283163,Male,day_three
"(4283163, 'Male', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_three
"(4283163, 'Male', '15-16 weeks', 'distance (mm)')",Distance,1029.930751,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_three
"(4283163, 'Male', '8 weeks', 'Climbing')",Climbing,0.72,Rbmb6 HD:WT,8 weeks,4283163,Male,day_three
"(4283163, 'Male', '8 weeks', 'distance (mm)')",Distance,1490.663285,Rbmb6 HD:WT,8 weeks,4283163,Male,day_three
"(4283183, 'Female', '13 weeks', 'Climbing')",Climbing,11.808,Rbmb6 HD:Het,13 weeks,4283183,Female,day_three
"(4283183, 'Female', '13 weeks', 'distance (mm)')",Distance,6845.467053,Rbmb6 HD:Het,13 weeks,4283183,Female,day_three
"(4283183, 'Female', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_three
"(4283183, 'Female', '15-16 weeks', 'distance (mm)')",Distance,273.0796223,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_three
"(4283183, 'Female', '8 weeks', 'Climbing')",Climbing,28.672,Rbmb6 HD:Het,8 weeks,4283183,Female,day_three
"(4283183, 'Female', '8 weeks', 'distance (mm)')",Distance,7860.184439,Rbmb6 HD:Het,8 weeks,4283183,Female,day_three
"(4284198, 'Female', '15-16 weeks', 'Climbing')",Climbing,120.048,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_three
"(4284198, 'Female', '15-16 weeks', 'distance (mm)')",Distance,13471.20845,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_three
"(4284198, 'Female', '8 weeks', 'Climbing')",Climbing,131.328,Rbmb6 HD:WT,8 weeks,4284198,Female,day_three
"(4284198, 'Female', '8 weeks', 'distance (mm)')",Distance,7735.653479,Rbmb6 HD:WT,8 weeks,4284198,Female,day_three
"(4284608, 'Female', '8 weeks', 'Climbing')",Climbing,24.432,Rbmb6 HD:Het,8 weeks,4284608,Female,day_three
"(4284608, 'Female', '8 weeks', 'distance (mm)')",Distance,7469.548133,Rbmb6 HD:Het,8 weeks,4284608,Female,day_three
"(4284627, 'Female', '8 weeks', 'Climbing')",Climbing,0.432,Rbmb6 HD:Het,8 weeks,4284627,Female,day_three
"(4284627, 'Female', '8 weeks', 'distance (mm)')",Distance,536.1849548,Rbmb6 HD:Het,8 weeks,4284627,Female,day_three
"(4300729, 'Male', '13 weeks', 'Climbing')",Climbing,47.472,Rbmb6 HD:WT,13 weeks,4300729,Male,day_three
"(4300729, 'Male', '13 weeks', 'distance (mm)')",Distance,5994.975024,Rbmb6 HD:WT,13 weeks,4300729,Male,day_three
"(4300729, 'Male', '15-16 weeks', 'Climbing')",Climbing,13.248,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_three
"(4300729, 'Male', '15-16 weeks', 'distance (mm)')",Distance,6390.538721,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_three
"(4300729, 'Male', '8 weeks', 'Climbing')",Climbing,52.176,Rbmb6 HD:WT,8 weeks,4300729,Male,day_three
"(4300729, 'Male', '8 weeks', 'distance (mm)')",Distance,11825.66738,Rbmb6 HD:WT,8 weeks,4300729,Male,day_three
"(4300730, 'Male', '13 weeks', 'Climbing')",Climbing,8.64,Rbmb6 HD:Het,13 weeks,4300730,Male,day_three
"(4300730, 'Male', '13 weeks', 'distance (mm)')",Distance,2072.881992,Rbmb6 HD:Het,13 weeks,4300730,Male,day_three
"(4300730, 'Male', '15-16 weeks', 'Climbing')",Climbing,1.824,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_three
"(4300730, 'Male', '15-16 weeks', 'distance (mm)')",Distance,964.9072538,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_three
"(4300730, 'Male', '8 weeks', 'Climbing')",Climbing,1.168,Rbmb6 HD:Het,8 weeks,4300730,Male,day_three
"(4300730, 'Male', '8 weeks', 'distance (mm)')",Distance,1414.627059,Rbmb6 HD:Het,8 weeks,4300730,Male,day_three
"(4303286, 'Female', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4303286,Female,day_three
"(4303286, 'Female', '13 weeks', 'distance (mm)')",Distance,576.171379,Rbmb6 HD:Het,13 weeks,4303286,Female,day_three
"(4303286, 'Female', '8 weeks', 'Climbing')",Climbing,43.968,Rbmb6 HD:Het,8 weeks,4303286,Female,day_three
"(4303286, 'Female', '8 weeks', 'distance (mm)')",Distance,9624.446217,Rbmb6 HD:Het,8 weeks,4303286,Female,day_three
"(4303287, 'Male', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4303287,Male,day_three
"(4303287, 'Male', '13 weeks', 'distance (mm)')",Distance,404.1416218,Rbmb6 HD:Het,13 weeks,4303287,Male,day_three
"(4303287, 'Male', '8 weeks', 'Climbing')",Climbing,2.784,Rbmb6 HD:Het,8 weeks,4303287,Male,day_three
"(4303287, 'Male', '8 weeks', 'distance (mm)')",Distance,1464.299585,Rbmb6 HD:Het,8 weeks,4303287,Male,day_three
"(4303288, 'Male', '13 weeks', 'Climbing')",Climbing,23.424,Rbmb6 HD:WT,13 weeks,4303288,Male,day_three
"(4303288, 'Male', '13 weeks', 'distance (mm)')",Distance,4606.764532,Rbmb6 HD:WT,13 weeks,4303288,Male,day_three
"(4303288, 'Male', '15-16 weeks', 'Climbing')",Climbing,1.78912,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_three
"(4303288, 'Male', '15-16 weeks', 'distance (mm)')",Distance,7113.391443,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_three
