,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4283183, 'Female', '13 weeks', 'distance (mm)')",Distance,7309.326962,Rbmb6 HD:Het,13 weeks,4283183,Female,day_one
"(4283183, 'Female', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_one
"(4283183, 'Female', '15-16 weeks', 'distance (mm)')",Distance,50.00000764,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_one
"(4283183, 'Female', '8 weeks', 'Climbing')",Climbing,6.528,Rbmb6 HD:Het,8 weeks,4283183,Female,day_one
"(4283183, 'Female', '8 weeks', 'distance (mm)')",Distance,3828.183925,Rbmb6 HD:Het,8 weeks,4283183,Female,day_one
"(4284198, 'Female', '15-16 weeks', 'Climbing')",Climbing,76.616,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_one
"(4284198, 'Female', '15-16 weeks', 'distance (mm)')",Distance,12079.00317,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_one
"(4284198, 'Female', '8 weeks', 'Climbing')",Climbing,118.8,Rbmb6 HD:WT,8 weeks,4284198,Female,day_one
"(4284198, 'Female', '8 weeks', 'distance (mm)')",Distance,8278.535669,Rbmb6 HD:WT,8 weeks,4284198,Female,day_one
"(4284608, 'Female', '8 weeks', 'Climbing')",Climbing,6.768,Rbmb6 HD:Het,8 weeks,4284608,Female,day_one
"(4284608, 'Female', '8 weeks', 'distance (mm)')",Distance,1467.648649,Rbmb6 HD:Het,8 weeks,4284608,Female,day_one
"(4284627, 'Female', '8 weeks', 'Climbing')",Climbing,24.288,Rbmb6 HD:Het,8 weeks,4284627,Female,day_one
"(4284627, 'Female', '8 weeks', 'distance (mm)')",Distance,4841.324985,Rbmb6 HD:Het,8 weeks,4284627,Female,day_one
"(4300729, 'Male', '13 weeks', 'Climbing')",Climbing,28.992,Rbmb6 HD:WT,13 weeks,4300729,Male,day_one
"(4300729, 'Male', '13 weeks', 'distance (mm)')",Distance,6152.432691,Rbmb6 HD:WT,13 weeks,4300729,Male,day_one
"(4300729, 'Male', '15-16 weeks', 'Climbing')",Climbing,17.136,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_one
"(4300729, 'Male', '15-16 weeks', 'distance (mm)')",Distance,8540.406531,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_one
"(4300729, 'Male', '8 weeks', 'Climbing')",Climbing,32.928,Rbmb6 HD:WT,8 weeks,4300729,Male,day_one
"(4300729, 'Male', '8 weeks', 'distance (mm)')",Distance,8045.056714,Rbmb6 HD:WT,8 weeks,4300729,Male,day_one
"(4300730, 'Male', '13 weeks', 'Climbing')",Climbing,55.568,Rbmb6 HD:Het,13 weeks,4300730,Male,day_one
"(4300730, 'Male', '13 weeks', 'distance (mm)')",Distance,7676.923914,Rbmb6 HD:Het,13 weeks,4300730,Male,day_one
"(4300730, 'Male', '15-16 weeks', 'Climbing')",Climbing,16.704,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_one
"(4300730, 'Male', '15-16 weeks', 'distance (mm)')",Distance,9155.832678,Rbmb6 HD:Het,15-16 weeks,4300730,Male,day_one
"(4300730, 'Male', '8 weeks', 'Climbing')",Climbing,7.32,Rbmb6 HD:Het,8 weeks,4300730,Male,day_one
"(4300730, 'Male', '8 weeks', 'distance (mm)')",Distance,8972.281879,Rbmb6 HD:Het,8 weeks,4300730,Male,day_one
"(4303286, 'Female', '13 weeks', 'Climbing')",Climbing,38.928,Rbmb6 HD:Het,13 weeks,4303286,Female,day_one
"(4303286, 'Female', '13 weeks', 'distance (mm)')",Distance,4762.118758,Rbmb6 HD:Het,13 weeks,4303286,Female,day_one
"(4303286, 'Female', '8 weeks', 'Climbing')",Climbing,43.68,Rbmb6 HD:Het,8 weeks,4303286,Female,day_one
"(4303286, 'Female', '8 weeks', 'distance (mm)')",Distance,4481.573205,Rbmb6 HD:Het,8 weeks,4303286,Female,day_one
"(4303287, 'Male', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4303287,Male,day_one
"(4303287, 'Male', '13 weeks', 'distance (mm)')",Distance,640.1633423,Rbmb6 HD:Het,13 weeks,4303287,Male,day_one
"(4303287, 'Male', '8 weeks', 'Climbing')",Climbing,6.048,Rbmb6 HD:Het,8 weeks,4303287,Male,day_one
"(4303287, 'Male', '8 weeks', 'distance (mm)')",Distance,2751.922133,Rbmb6 HD:Het,8 weeks,4303287,Male,day_one
"(4303288, 'Male', '13 weeks', 'Climbing')",Climbing,40.784,Rbmb6 HD:WT,13 weeks,4303288,Male,day_one
"(4303288, 'Male', '13 weeks', 'distance (mm)')",Distance,6302.78246,Rbmb6 HD:WT,13 weeks,4303288,Male,day_one
"(4303288, 'Male', '15-16 weeks', 'Climbing')",Climbing,9.3744,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_one
"(4303288, 'Male', '15-16 weeks', 'distance (mm)')",Distance,8371.014722,Rbmb6 HD:WT,15-16 weeks,4303288,Male,day_one
"(4303291, 'Female', '13 weeks', 'Climbing')",Climbing,155.088,Rbmb6 HD:WT,13 weeks,4303291,Female,day_one
"(4303291, 'Female', '13 weeks', 'distance (mm)')",Distance,14016.69922,Rbmb6 HD:WT,13 weeks,4303291,Female,day_one
"(4303291, 'Female', '15-16 weeks', 'Climbing')",Climbing,135.504,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_one
"(4303291, 'Female', '15-16 weeks', 'distance (mm)')",Distance,9449.376056,Rbmb6 HD:WT,15-16 weeks,4303291,Female,day_one
"(4309500, 'Male', '8 weeks', 'Climbing')",Climbing,16.08,Rbmb6 HD:Het,8 weeks,4309500,Male,day_one
"(4309500, 'Male', '8 weeks', 'distance (mm)')",Distance,3160.943221,Rbmb6 HD:Het,8 weeks,4309500,Male,day_one
"(4309505, 'Male', '13 weeks', 'Climbing')",Climbing,1.448,Rbmb6 HD:Het,13 weeks,4309505,Male,day_one
"(4309505, 'Male', '13 weeks', 'distance (mm)')",Distance,1028.867664,Rbmb6 HD:Het,13 weeks,4309505,Male,day_one
"(4309505, 'Male', '15-16 weeks', 'Climbing')",Climbing,8.496,Rbmb6 HD:Het,15-16 weeks,4309505,Male,day_one
