"","Age","Sex","contrast","estimate","SE","df","t.ratio","p.value"
"1","13 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",-9.66694947972511,1.07431904368499,87.6220579213893,-8.99821104033194,2.56935402407112e-13
"2","15-16 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",-9.4249495299488,1.34369352367952,137.112505481703,-7.01421072875298,2.89341107450006e-10
"3","8 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",-6.31449720254592,0.978618441371188,72.4345443230008,-6.45246087300213,2.17728084904852e-08
"4","13 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-3.89729114871598,1.08884248478995,74.9162414857072,-3.57929746786818,0.000730473414601351
"5","15-16 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-4.78490124224377,1.13543960248845,83.4456749681102,-4.2141398201693,9.47072810793804e-05
"6","8 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-2.26746496874393,1.02817651992896,66.2516447061062,-2.20532654149755,0.0309062958695716
