"","Age","Sex","contrast","estimate","SE","df","t.ratio","p.value"
"1","13 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",-1.15809925001061,1.34818349581823,71.9579421023861,-0.85900714079558,0.599382861416844
"2","15-16 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",0.291623964625237,1.63463929278833,120.695617502689,0.178402639598728,0.858705879523147
"3","8 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",1.02653008173629,1.25250588267995,60.2874374662929,0.819581046230181,0.599382861416844
"4","13 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-0.945014876154296,1.39118759887862,61.9717922616759,-0.679286443407081,0.599382861416844
"5","15-16 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-2.83824662904515,1.4384819704227,68.7263518439174,-1.97308460405043,0.315054896714426
"6","8 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-1.39358855145572,1.32757738654894,54.5311254346533,-1.04972302599879,0.599382861416844
