"","Age","contrast","estimate","SE","df","t.ratio","p.value"
"1","12 months","Female - Male",5.42484223515198e-05,0.000228431705417095,18.1660041674868,0.237482017885684,0.814940601661539
"2","3 months","Female - Male",0.000231864763325468,0.000227557910382414,18.1278909568177,1.01892640399016,0.616833125120422
"3","7 months","Female - Male",0.00019312230477399,0.000229715360923472,18.5475814038345,0.84070261560927,0.616833125120422
