"","Age","Sex","contrast","estimate","SE","df","t.ratio","p.value"
"1","13 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",59.8004388839546,24.1501994921459,62.2662013727799,2.47618819477673,0.0852927154122414
"2","15-16 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",22.5703981508793,28.3135359352218,101.793441722592,0.797159288141117,0.640821020037623
"3","8 weeks","Female","Rbmb6 HD:Het - Rbmb6 HD:WT",51.2212258641099,22.7289545000342,52.4264455359465,2.25356717855337,0.0852927154122414
"4","13 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-13.8663922034759,25.1975496095148,53.63876269772,-0.550307169481268,0.701271922513747
"5","15-16 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",-39.232594770769,25.8701888486107,58.661019596627,-1.51651752526252,0.269518612863136
"6","8 weeks","Male","Rbmb6 HD:Het - Rbmb6 HD:WT",6.7536874440055,24.2739481531568,47.7584919665494,0.278227810383091,0.782038553618317
